Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
21/03/2024;PAGAMENTO DUPLICATA N§ 949954 ;4578;0324-00001697;;25,37;13.554,72C
02/04/2024;PAGAMENTO DUPLICATA N§ 949954 ;92;0424-00000857;979,24;;12.575,48C
02/04/2024;PAGAMENTO DUPLICATA N§ 949961 ;92;0424-00000860;603,45;;11.972,03C
04/04/2024;NOTA FISCAL N§ 953841 ;3152;0424-00001382;;203,94;12.175,97C
04/04/2024;PAGAMENTO DUPLICATA N§ 953841 ;4578;0424-00001887;;0,81;12.176,78C
16/04/2024;PAGAMENTO DUPLICATA N§ 953841 ;92;0424-00000861;204,75;;11.972,03C
19/04/2024;NOTA FISCAL N§ 957835 ;3152;0424-00001380;;78,69;12.050,72C
19/04/2024;NOTA FISCAL N§ 957834 ;3152;0424-00001381;;237,93;12.288,65C
19/04/2024;NOTA FISCAL N§ 957835 ;3152;0424-00001383;;300,7;12.589,35C
19/04/2024;PAGAMENTO DUPLICATA N§ 957834 ;4578;0424-00001890;;5,65;12.595,00C
19/04/2024;PAGAMENTO DUPLICATA N§ 957835 ;4578;0424-00001894;;12,38;12.607,38C
30/04/2024;PAGAMENTO DUPLICATA N§ 957834 ;92;0424-00000858;243,58;;12.363,80C
30/04/2024;PAGAMENTO DUPLICATA N§ 957835 ;92;0424-00000859;391,77;;11.972,03C
22/05/2024;NOTA FISCAL N§ 968647 ;3152;0524-00001468;;131,15;12.103,18C
22/05/2024;NOTA FISCAL N§ 968647 ;3152;0524-00001470;;330,57;12.433,75C
22/05/2024;PAGAMENTO DUPLICATA N§ 968647 ;4578;0524-00001964;;92,33;12.526,08C
31/05/2024;NOTA FISCAL N§ 970925 ;3152;0524-00001469;;250,88;12.776,96C
31/05/2024;PAGAMENTO DUPLICATA N§ 970925 ;4578;0524-00001944;;5,49;12.782,45C
04/06/2024;PAGAMENTO DUPLICATA N§ 968647 ;92;0624-00001117;554,05;;12.228,40C
11/06/2024;PAGAMENTO DUPLICATA N§ 970925 ;92;0624-00001118;256,37;;11.972,03C
27/09/2024;NOTA FISCAL N§ 1005819 ;3152;0924-00001515;;474,17;12.446,20C
27/09/2024;PAGAMENTO DUPLICATA N§ 1005819 ;4578;0924-00001889;;22,5;12.468,70C
22/10/2024;NOTA FISCAL N§ 1013835 ;3152;1024-00001484;;288,12;12.756,82C
22/10/2024;PAGAMENTO DUPLICATA N§ 1013835 ;4578;1024-00001860;;10,2;12.767,02C
08/11/2024;PAGAMENTO DUPLICATA N§ 1005819 ;92;1124-00001225;496,67;;12.270,35C
01/12/2024;PAGAMENTO DUPLICATA N§ 1013835 ;92;1224-00001117;298,32;;11.972,03C
;;;;;;
Conta:;5285 - 2.1.1.01.001 - CAPITAL COMERCIO ELOGISTICA DEALIMENTOS EIRELI;;;;;
16/03/2024;NOTA FISCAL N§ 52356 ;3152;0324-00001164;;17,99;17,99C
16/03/2024;NOTA FISCAL N§ 52356 ;3152;0324-00001165;;59;76,99C
10/04/2024;NOTA FISCAL N§ 53996 ;3152;0424-00001384;;17,99;94,98C
10/04/2024;NOTA FISCAL N§ 53996 ;3152;0424-00001385;;48;142,98C
19/04/2024;PAGAMENTO DUPLICATA N§ 52356 ;92;0424-00000856;76,99;;65,99C
15/05/2024;PAGAMENTO DUPLICATA N§ 53996 ;92;0524-00000979;65,99;;0,00C
25/05/2024;NOTA FISCAL N§ 56891 ;3152;0524-00001471;;64;64,00C
25/05/2024;NOTA FISCAL N§ 56891 ;3152;0524-00001472;;19,98;83,98C
25/05/2024;PAGAMENTO DUPLICATA N§ 56891 ;4578;0524-00001941;;2,23;86,21C
26/06/2024;PAGAMENTO DUPLICATA N§ 56891 ;92;0624-00001116;86,21;;0,00C
;;;;;;
Conta:;5810 - 2.1.1.01.001 - CBA;;;;;
26/01/2023;NOTA FISCAL N§ 228210 ;3152;0123-00000788;;74,18;74,18C
26/01/2023;NOTA FISCAL N§ 228210 ;3152;0123-00000789;;155,1;229,28C
14/02/2023;NOTA FISCAL N§ 229570 ;3152;0223-00000721;;600,84;830,12C
28/03/2023;NOTA FISCAL N§ 232678 ;3152;0323-00000741;;363,14;1.193,26C
28/03/2023;NOTA FISCAL N§ 232678 ;3152;0323-00000757;;86,91;1.280,17C
28/04/2023;NOTA FISCAL N§ 234779 ;3152;0423-00000741;;2.124,88;3.405,05C
04/05/2023;NOTA FISCAL N§ 234916 ;3152;0523-00000769;;149,29;3.554,34C
04/05/2023;NOTA FISCAL N§ 234916 ;3152;0523-00000770;;142,04;3.696,38C
