Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
23/10/2023;NOTA FISCAL N§ 247643 ;3152;1023-00000592;;390,46;16.213,70C
25/10/2023;NOTA FISCAL N§ 247765 ;3152;1023-00000590;;309,08;16.522,78C
22/11/2023;NOTA FISCAL N§ 249804 ;3152;1123-00000448;;444,36;16.967,14C
19/12/2023;NOTA FISCAL N§ 252195 ;3152;1223-00000217;;708;17.675,14C
05/01/2024;NOTA FISCAL N§ 253154 ;3152;0124-00001074;;671,52;18.346,66C
05/01/2024;NOTA FISCAL N§ 253154 ;3152;0124-00001075;;810,64;19.157,30C
05/01/2024;PAGAMENTO DUPLICATA N§ 253154 ;4578;0124-00001596;;24,42;19.181,72C
17/01/2024;PAGAMENTO DUPLICATA N§ 249804 ;92;0124-00000625;444,36;;18.737,36C
16/02/2024;PAGAMENTO DUPLICATA N§ 252195 ;92;0224-00000595;710,82;;18.026,54C
14/03/2024;PAGAMENTO DUPLICATA N§ 253154 ;92;0324-00000752;494,71;;17.531,83C
21/03/2024;PAGAMENTO DUPLICATA N§ 253154 ;92;0324-00000753;498,67;;17.033,16C
28/03/2024;PAGAMENTO DUPLICATA N§ 253154 ;92;0324-00000754;513,2;;16.519,96C
18/06/2024;NOTA FISCAL N§ 266979 ;3152;0624-00001537;;1.845,15;18.365,11C
18/06/2024;PAGAMENTO DUPLICATA N§ 266979 ;4578;0624-00001844;;9,84;18.374,95C
21/06/2024;NOTA FISCAL N§ 267121 ;3152;0624-00001538;;901,84;19.276,79C
21/06/2024;PAGAMENTO DUPLICATA N§ 267121 ;4578;0624-00001840;;6;19.282,79C
17/08/2024;PAGAMENTO DUPLICATA N§ 267121 ;92;0824-00001157;907,84;;18.374,95C
19/08/2024;PAGAMENTO DUPLICATA N§ 266979 ;92;0824-00001156;1.854,99;;16.519,96C
30/08/2024;NOTA FISCAL N§ 273836 ;3152;0824-00001437;;154,67;16.674,63C
30/08/2024;NOTA FISCAL N§ 273968 ;3152;0824-00001438;;711,92;17.386,55C
30/08/2024;PAGAMENTO DUPLICATA N§ 273968 ;4578;0824-00001834;;12,22;17.398,77C
26/09/2024;NOTA FISCAL N§ 276516 ;3152;0924-00001517;;232,4;17.631,17C
26/09/2024;NOTA FISCAL N§ 276516 ;3152;0924-00001518;;281,5;17.912,67C
26/09/2024;PAGAMENTO DUPLICATA N§ 276516 ;4578;0924-00001882;;5,1;17.917,77C
27/09/2024;NOTA FISCAL N§ 276706 ;3152;0924-00001516;;314,79;18.232,56C
27/09/2024;PAGAMENTO DUPLICATA N§ 276706 ;4578;0924-00001879;;1;18.233,56C
27/10/2024;PAGAMENTO DUPLICATA N§ 273836 ;92;1024-00001208;154,67;;18.078,89C
27/10/2024;PAGAMENTO DUPLICATA N§ 273968 ;92;1024-00001209;724,14;;17.354,75C
28/11/2024;PAGAMENTO DUPLICATA N§ 276516 ;92;1124-00001253;519;;16.835,75C
10/12/2024;PAGAMENTO DUPLICATA N§ 276706 ;92;1224-00001140;157,7;;16.678,05C
20/12/2024;PAGAMENTO DUPLICATA N§ 276706 ;92;1224-00001141;158,09;;16.519,96C
;;;;;;
Conta:;11972 - 2.1.1.01.001 - CENTRO DE INTEGRACAO EMPRESA ESCOLA - CIEE;;;;;
10/01/2023;NOTA FISCAL N§ 152780 ;5581;0123-00000790;;90;90,00C
10/01/2023;NOTA FISCAL N§ 152786 ;5581;0123-00000791;;90;180,00C
;;;;;;
Conta:;9512 - 2.1.1.01.001 - CIMED REMEDIOS S.A.;;;;;
03/12/2024;NOTA FISCAL N§ 33689 ;3152;1224-00001404;;797,63;797,63C
03/12/2024;NOTA FISCAL N§ 33689 ;3152;1224-00001405;;4,01;801,64C
03/12/2024;NOTA FISCAL N§ 33689 ;3152;1224-00001406;;1.107,28;1.908,92C
;;;;;;
Conta:;14166 - 2.1.1.01.001 - COPA DISTRIBUI€?O E LOGISTICA LTDA;;;;;
17/02/2023;NOTA FISCAL N§ 58 ;3152;0223-00000722;;240;240,00C
12/05/2023;NOTA FISCAL N§ 126 ;3152;0523-00000772;;123,2;363,20C
17/05/2023;NOTA FISCAL N§ 152 ;3152;0523-00000773;;134,4;497,60C
;;;;;;
Conta:;5844 - 2.1.1.01.001 - CRISMELL DISTRIBUIDORA DE COSMETICOS LTDA;;;;;
03/04/2023;NOTA FISCAL N§ 15249 ;3152;0423-00000746;;2.296,76;2.296,76C
;;;;;;
Conta:;7466 - 2.1.1.01.001 - DANIELA EVANGELISTA VIEIRA;;;;;
18/01/2023;NOTA FISCAL N§ 946 ;3152;0123-00000792;;170;170,00C
08/02/2023;NOTA FISCAL N§ 991 ;3152;0223-00000723;;105;275,00C
19/04/2023;NOTA FISCAL N§ 1099 ;3152;0423-00000750;;170;445,00C
22/07/2023;NOTA FISCAL N§ 1257 ;3152;0723-00000745;;240;685,00C
;;;;;;
Conta:;7511 - 2.1.1.01.001 - DCA DISTRIBUIDORA DE COSMETICOS LTDA;;;;;
24/01/2023;NOTA FISCAL N§ 1260 ;3152;0123-00000793;;822,45;822,45C
24/01/2023;NOTA FISCAL N§ 1260 ;3152;0123-00000794;;37,9;860,35C
20/03/2023;NOTA FISCAL N§ 1859 ;3152;0323-00000770;;1.100,41;1.960,76C
20/03/2023;NOTA FISCAL N§ 1859 ;3152;0323-00000771;;116,97;2.077,73C
;;;;;;
Conta:;5868 - 2.1.1.01.001 - DF GENERICA COMDEPRODFARMACLTDA MTZ;;;;;
06/01/2023;NOTA FISCAL N§ 1940130 ;3152;0123-00000797;;253,13;253,13C
06/01/2023;NOTA FISCAL N§ 1940130 ;3152;0123-00000814;;800,42;1.053,55C
13/01/2023;NOTA FISCAL N§ 1943424 ;3152;0123-00000798;;262,1;1.315,65C
13/01/2023;NOTA FISCAL N§ 1943424 ;3152;0123-00000805;;5.215,91;6.531,56C
13/01/2023;NOTA FISCAL N§ 1943311 ;3152;0123-00000811;;327,97;6.859,53C
16/01/2023;NOTA FISCAL N§ 1943751 ;3152;0123-00000795;;336,78;7.196,31C
16/01/2023;NOTA FISCAL N§ 1944576 ;3152;0123-00000802;;735,6;7.931,91C
16/01/2023;NOTA FISCAL N§ 1941788 ;3152;0123-00000803;;30,79;7.962,70C
16/01/2023;NOTA FISCAL N§ 1943751 ;3152;0123-00000807;;419,28;8.381,98C
16/01/2023;NOTA FISCAL N§ 1944576 ;3152;0123-00000808;;2.146,02;10.528,00C
16/01/2023;NOTA FISCAL N§ 1941788 ;3152;0123-00000809;;347,17;10.875,17C
18/01/2023;NOTA FISCAL N§ 1944934 ;3152;0123-00000796;;30,79;10.905,96C
18/01/2023;NOTA FISCAL N§ 1944934 ;3152;0123-00000817;;307,03;11.212,99C
19/01/2023;NOTA FISCAL N§ 1946424 ;3152;0123-00000799;;44,25;11.257,24C
19/01/2023;NOTA FISCAL N§ 1945059 ;3152;0123-00000801;;1.265,47;12.522,71C
19/01/2023;NOTA FISCAL N§ 1946424 ;3152;0123-00000806;;473,45;12.996,16C
19/01/2023;NOTA FISCAL N§ 1945059 ;3152;0123-00000813;;1.302,85;14.299,01C
24/01/2023;NOTA FISCAL N§ 1948025 ;3152;0123-00000804;;425,65;14.724,66C
24/01/2023;NOTA FISCAL N§ 1947987 ;3152;0123-00000810;;281,4;15.006,06C
27/01/2023;NOTA FISCAL N§ 1947204 ;3152;0123-00000800;;649,99;15.656,05C
27/01/2023;NOTA FISCAL N§ 1947204 ;3152;0123-00000812;;296,53;15.952,58C
27/01/2023;NOTA FISCAL N§ 1949835 ;3152;0123-00000815;;1.486,10;17.438,68C
30/01/2023;NOTA FISCAL N§ 1951072 ;3152;0123-00000816;;417,58;17.856,26C
03/02/2023;NOTA FISCAL N§ 1953623 ;3152;0223-00000737;;493,69;18.349,95C
03/02/2023;NOTA FISCAL N§ 1953817 ;3152;0223-00000753;;819,88;19.169,83C
06/02/2023;NOTA FISCAL N§ 1954391 ;3152;0223-00000727;;73,75;19.243,58C
06/02/2023;NOTA FISCAL N§ 1954391 ;3152;0223-00000752;;560,3;19.803,88C
07/02/2023;NOTA FISCAL N§ 1955527 ;3152;0223-00000729;;144,8;19.948,68C
07/02/2023;NOTA FISCAL N§ 1955527 ;3152;0223-00000738;;398,71;20.347,39C
07/02/2023;NOTA FISCAL N§ 1955157 ;3152;0223-00000748;;382,22;20.729,61C
08/02/2023;NOTA FISCAL N§ 1956225 ;3152;0223-00000731;;1.493,21;22.222,82C
08/02/2023;NOTA FISCAL N§ 1956225 ;3152;0223-00000749;;1.216,60;23.439,42C
09/02/2023;NOTA FISCAL N§ 1956522 ;3152;0223-00000736;;183,74;23.623,16C
10/02/2023;NOTA FISCAL N§ 1955020 ;3152;0223-00000734;;444,79;24.067,95C
10/02/2023;NOTA FISCAL N§ 1957153 ;3152;0223-00000739;;432,52;24.500,47C
11/02/2023;NOTA FISCAL N§ 1959045 ;3152;0223-00000747;;914,06;25.414,53C
13/02/2023;NOTA FISCAL N§ 1959294 ;3152;0223-00000726;;185,6;25.600,13C
13/02/2023;NOTA FISCAL N§ 1959294 ;3152;0223-00000733;;390,65;25.990,78C
14/02/2023;NOTA FISCAL N§ 1959744 ;3152;0223-00000751;;935,82;26.926,60C
15/02/2023;NOTA FISCAL N§ 1960422 ;3152;0223-00000745;;385,49;27.312,09C
15/02/2023;NOTA FISCAL N§ 1960296 ;3152;0223-00000754;;234,55;27.546,64C
16/02/2023;NOTA FISCAL N§ 1961484 ;3152;0223-00000735;;110,75;27.657,39C
16/02/2023;NOTA FISCAL N§ 1961516 ;3152;0223-00000744;;177,99;27.835,38C
20/02/2023;NOTA FISCAL N§ 1962085 ;3152;0223-00000730;;141,84;27.977,22C
20/02/2023;NOTA FISCAL N§ 1962085 ;3152;0223-00000740;;343,62;28.320,84C
22/02/2023;NOTA FISCAL N§ 1962671 ;3152;0223-00000725;;565,69;28.886,53C
22/02/2023;NOTA FISCAL N§ 1963355 ;3152;0223-00000732;;17,4;28.903,93C
22/02/2023;NOTA FISCAL N§ 1963355 ;3152;0223-00000743;;526,66;29.430,59C
22/02/2023;NOTA FISCAL N§ 1962671 ;3152;0223-00000746;;1.171,91;30.602,50C
22/02/2023;NOTA FISCAL N§ 1962142 ;3152;0223-00000750;;974,84;31.577,34C
24/02/2023;NOTA FISCAL N§ 1964923 ;3152;0223-00000728;;344,61;31.921,95C
24/02/2023;NOTA FISCAL N§ 1964923 ;3152;0223-00000742;;970,61;32.892,56C
27/02/2023;NOTA FISCAL N§ 1965419 ;3152;0223-00000724;;434,9;33.327,46C
27/02/2023;NOTA FISCAL N§ 1965419 ;3152;0223-00000741;;141,75;33.469,21C
08/03/2023;NOTA FISCAL N§ 1971364 ;3152;0323-00000780;;377,05;33.846,26C
08/03/2023;NOTA FISCAL N§ 1971391 ;3152;0323-00000786;;1.090,55;34.936,81C
08/03/2023;NOTA FISCAL N§ 1971415 ;3152;0323-00000788;;264,11;35.200,92C
09/03/2023;NOTA FISCAL N§ 1972473 ;3152;0323-00000777;;814,09;36.015,01C
09/03/2023;NOTA FISCAL N§ 1972473 ;3152;0323-00000787;;141,47;36.156,48C
13/03/2023;NOTA FISCAL N§ 1973920 ;3152;0323-00000774;;86,25;36.242,73C
13/03/2023;NOTA FISCAL N§ 1973920 ;3152;0323-00000782;;387,32;36.630,05C
14/03/2023;NOTA FISCAL N§ 1975427 ;3152;0323-00000775;;30,79;36.660,84C
14/03/2023;NOTA FISCAL N§ 1975427 ;3152;0323-00000791;;186,22;36.847,06C
15/03/2023;NOTA FISCAL N§ 1976164 ;3152;0323-00000784;;335,65;37.182,71C
20/03/2023;NOTA FISCAL N§ 1977607 ;3152;0323-00000776;;1,99;37.184,70C
20/03/2023;NOTA FISCAL N§ 1977607 ;3152;0323-00000781;;1.823,02;39.007,72C
21/03/2023;NOTA FISCAL N§ 1980235 ;3152;0323-00000772;;345,07;39.352,79C
21/03/2023;NOTA FISCAL N§ 1980142 ;3152;0323-00000778;;231,2;39.583,99C
21/03/2023;NOTA FISCAL N§ 1980231 ;3152;0323-00000779;;434,85;40.018,84C
21/03/2023;NOTA FISCAL N§ 1980063 ;3152;0323-00000783;;1.286,33;41.305,17C
21/03/2023;NOTA FISCAL N§ 1980235 ;3152;0323-00000790;;695,87;42.001,04C
21/03/2023;NOTA FISCAL N§ 1980064 ;3152;0323-00000792;;507,25;42.508,29C
22/03/2023;NOTA FISCAL N§ 1980945 ;3152;0323-00000789;;270,5;42.778,79C
29/03/2023;NOTA FISCAL N§ 1984653 ;3152;0323-00000785;;267,79;43.046,58C
30/03/2023;NOTA FISCAL N§ 1986768 ;3152;0323-00000773;;47,37;43.093,95C
30/03/2023;NOTA FISCAL N§ 1986768 ;3152;0323-00000793;;295,99;43.389,94C
03/04/2023;NOTA FISCAL N§ 1986186 ;3152;0423-00000786;;43,32;43.433,26C
03/04/2023;NOTA FISCAL N§ 1986186 ;3152;0423-00000793;;1.176,12;44.609,38C
04/04/2023;NOTA FISCAL N§ 1989910 ;3152;0423-00000801;;241,31;44.850,69C
06/04/2023;NOTA FISCAL N§ 1990858 ;3152;0423-00000775;;488,3;45.338,99C
06/04/2023;NOTA FISCAL N§ 1990858 ;3152;0423-00000787;;1.258,74;46.597,73C
08/04/2023;NOTA FISCAL N§ 1992113 ;3152;0423-00000802;;839,13;47.436,86C
11/04/2023;NOTA FISCAL N§ 1993460 ;3152;0423-00000785;;86,68;47.523,54C
11/04/2023;NOTA FISCAL N§ 1993460 ;3152;0423-00000794;;1.427,79;48.951,33C
13/04/2023;NOTA FISCAL N§ 1993291 ;3152;0423-00000782;;212,16;49.163,49C
13/04/2023;NOTA FISCAL N§ 1993291 ;3152;0423-00000790;;1.439,72;50.603,21C
16/04/2023;NOTA FISCAL N§ 1997522 ;3152;0423-00000784;;247,44;50.850,65C
16/04/2023;NOTA FISCAL N§ 1997522 ;3152;0423-00000796;;1.036,69;51.887,34C
17/04/2023;NOTA FISCAL N§ 1997799 ;3152;0423-00000780;;54,17;51.941,51C
17/04/2023;NOTA FISCAL N§ 1997799 ;3152;0423-00000803;;747,26;52.688,77C
18/04/2023;NOTA FISCAL N§ 1997930 ;3152;0423-00000779;;633,94;53.322,71C
18/04/2023;NOTA FISCAL N§ 1997930 ;3152;0423-00000789;;1.256,36;54.579,07C
19/04/2023;NOTA FISCAL N§ 1998056 ;3152;0423-00000783;;386,94;54.966,01C
19/04/2023;NOTA FISCAL N§ 1999231 ;3152;0423-00000791;;431,66;55.397,67C
19/04/2023;NOTA FISCAL N§ 1998056 ;3152;0423-00000804;;815,06;56.212,73C
20/04/2023;NOTA FISCAL N§ 1999580 ;3152;0423-00000778;;78,95;56.291,68C
20/04/2023;NOTA FISCAL N§ 1999580 ;3152;0423-00000788;;402,1;56.693,78C
22/04/2023;NOTA FISCAL N§ 2000279 ;3152;0423-00000799;;1.034,92;57.728,70C
24/04/2023;NOTA FISCAL N§ 1999911 ;3152;0423-00000781;;1.148,43;58.877,13C
24/04/2023;NOTA FISCAL N§ 1999911 ;3152;0423-00000795;;933,62;59.810,75C
25/04/2023;NOTA FISCAL N§ 2001775 ;3152;0423-00000792;;324,74;60.135,49C
25/04/2023;NOTA FISCAL N§ 2001697 ;3152;0423-00000798;;1.006,87;61.142,36C
27/04/2023;NOTA FISCAL N§ 2004465 ;3152;0423-00000800;;1.895,04;63.037,40C
28/04/2023;NOTA FISCAL N§ 2004528 ;3152;0423-00000797;;648,16;63.685,56C
05/05/2023;NOTA FISCAL N§ 2008475 ;3152;0523-00000814;;1.318,96;65.004,52C
06/05/2023;NOTA FISCAL N§ 2009258 ;3152;0523-00000826;;250,41;65.254,93C
08/05/2023;NOTA FISCAL N§ 2008959 ;3152;0523-00000778;;200,66;65.455,59C
08/05/2023;NOTA FISCAL N§ 2008950 ;3152;0523-00000811;;357,05;65.812,64C
08/05/2023;NOTA FISCAL N§ 2008959 ;3152;0523-00000821;;62,8;65.875,44C
09/05/2023;NOTA FISCAL N§ 2009894 ;3152;0523-00000780;;54,17;65.929,61C
09/05/2023;NOTA FISCAL N§ 2009894 ;3152;0523-00000816;;622,56;66.552,17C
09/05/2023;NOTA FISCAL N§ 2010215 ;3152;0523-00000824;;339,57;66.891,74C
10/05/2023;NOTA FISCAL N§ 2010765 ;3152;0523-00000785;;698,26;67.590,00C
10/05/2023;NOTA FISCAL N§ 2010765 ;3152;0523-00000822;;1.234,59;68.824,59C
11/05/2023;NOTA FISCAL N§ 2009764 ;3152;0523-00000823;;325,09;69.149,68C
17/05/2023;NOTA FISCAL N§ 2015581 ;3152;0523-00000817;;399,39;69.549,07C
19/05/2023;NOTA FISCAL N§ 2017393 ;3152;0523-00000827;;993,79;70.542,86C
22/05/2023;NOTA FISCAL N§ 2017996 ;3152;0523-00000812;;208,32;70.751,18C
23/05/2023;NOTA FISCAL N§ 2019450 ;3152;0523-00000820;;293,25;71.044,43C
24/05/2023;NOTA FISCAL N§ 2019871 ;3152;0523-00000818;;437,46;71.481,89C
26/05/2023;NOTA FISCAL N§ 2022251 ;3152;0523-00000781;;310,93;71.792,82C
26/05/2023;NOTA FISCAL N§ 2020909 ;3152;0523-00000784;;910,34;72.703,16C
26/05/2023;NOTA FISCAL N§ 2019243 ;3152;0523-00000786;;287,91;72.991,07C
26/05/2023;NOTA FISCAL N§ 2022251 ;3152;0523-00000813;;1.504,15;74.495,22C
26/05/2023;NOTA FISCAL N§ 2020909 ;3152;0523-00000815;;590,86;75.086,08C
26/05/2023;NOTA FISCAL N§ 2019243 ;3152;0523-00000819;;1.047,97;76.134,05C
26/05/2023;NOTA FISCAL N§ 2022142 ;3152;0523-00000825;;1.247,71;77.381,76C
01/06/2023;NOTA FISCAL N§ 2025031 ;3152;0623-00000724;;53,44;77.435,20C
01/06/2023;NOTA FISCAL N§ 2025031 ;3152;0623-00000772;;1.393,49;78.828,69C
06/06/2023;NOTA FISCAL N§ 2028453 ;3152;0623-00000764;;819,04;79.647,73C
10/06/2023;NOTA FISCAL N§ 2030214 ;3152;0623-00000767;;507,51;80.155,24C
10/06/2023;NOTA FISCAL N§ 2030784 ;3152;0623-00000768;;401,66;80.556,90C
10/06/2023;NOTA FISCAL N§ 2030127 ;3152;0623-00000775;;296,18;80.853,08C
13/06/2023;NOTA FISCAL N§ 2030871 ;3152;0623-00000770;;919,35;81.772,43C
13/06/2023;NOTA FISCAL N§ 2032810 ;3152;0623-00000771;;562,48;82.334,91C
15/06/2023;NOTA FISCAL N§ 2033835 ;3152;0623-00000769;;992,33;83.327,24C
15/06/2023;NOTA FISCAL N§ 2034474 ;3152;0623-00000774;;409,23;83.736,47C
17/06/2023;NOTA FISCAL N§ 2034832 ;3152;0623-00000725;;827,65;84.564,12C
17/06/2023;NOTA FISCAL N§ 2034832 ;3152;0623-00000765;;1.095,11;85.659,23C
28/06/2023;NOTA FISCAL N§ 2042026 ;3152;0623-00000726;;178,7;85.837,93C
28/06/2023;NOTA FISCAL N§ 2042319 ;3152;0623-00000766;;416,12;86.254,05C
28/06/2023;NOTA FISCAL N§ 2042026 ;3152;0623-00000773;;1.212,51;87.466,56C
05/07/2023;NOTA FISCAL N§ 2046972 ;3152;0723-00000782;;884,28;88.350,84C
07/07/2023;NOTA FISCAL N§ 2047666 ;3152;0723-00000790;;440,69;88.791,53C
10/07/2023;NOTA FISCAL N§ 2048297 ;3152;0723-00000747;;631,51;89.423,04C
10/07/2023;NOTA FISCAL N§ 2048297 ;3152;0723-00000789;;1.415,82;90.838,86C
12/07/2023;NOTA FISCAL N§ 2049141 ;3152;0723-00000749;;226,52;91.065,38C
12/07/2023;NOTA FISCAL N§ 2049141 ;3152;0723-00000786;;320,53;91.385,91C
12/07/2023;NOTA FISCAL N§ 2048369 ;3152;0723-00000787;;1.126,91;92.512,82C
14/07/2023;NOTA FISCAL N§ 2052562 ;3152;0723-00000750;;313,94;92.826,76C
14/07/2023;NOTA FISCAL N§ 2052562 ;3152;0723-00000785;;6.911,51;99.738,27C
17/07/2023;NOTA FISCAL N§ 2052980 ;3152;0723-00000746;;754,98;100.493,25C
19/07/2023;NOTA FISCAL N§ 2055094 ;3152;0723-00000748;;1.556,22;102.049,47C
19/07/2023;NOTA FISCAL N§ 2054739 ;3152;0723-00000781;;60,69;102.110,16C
19/07/2023;NOTA FISCAL N§ 2055094 ;3152;0723-00000783;;920,63;103.030,79C
29/07/2023;NOTA FISCAL N§ 2061249 ;3152;0723-00000784;;292,66;103.323,45C
29/07/2023;NOTA FISCAL N§ 2060917 ;3152;0723-00000788;;915,93;104.239,38C
01/08/2023;NOTA FISCAL N§ 2063010 ;3152;0823-00000740;;709,16;104.948,54C
01/08/2023;NOTA FISCAL N§ 2063010 ;3152;0823-00000772;;1.659,73;106.608,27C
03/08/2023;NOTA FISCAL N§ 2064757 ;3152;0823-00000769;;694,12;107.302,39C
07/08/2023;NOTA FISCAL N§ 2064348 ;3152;0823-00000794;;418,05;107.720,44C
08/08/2023;NOTA FISCAL N§ 2066391 ;3152;0823-00000739;;365,37;108.085,81C
08/08/2023;NOTA FISCAL N§ 2066615 ;3152;0823-00000767;;345,37;108.431,18C
08/08/2023;NOTA FISCAL N§ 2066373 ;3152;0823-00000801;;1.106,33;109.537,51C
09/08/2023;NOTA FISCAL N§ 2067903 ;3152;0823-00000783;;312,46;109.849,97C
09/08/2023;NOTA FISCAL N§ 2067531 ;3152;0823-00000792;;177,24;110.027,21C
10/08/2023;NOTA FISCAL N§ 2068372 ;3152;0823-00000744;;172,43;110.199,64C
10/08/2023;NOTA FISCAL N§ 2068372 ;3152;0823-00000773;;1.101,49;111.301,13C
14/08/2023;NOTA FISCAL N§ 2070336 ;3152;0823-00000785;;226,84;111.527,97C
15/08/2023;NOTA FISCAL N§ 2070602 ;3152;0823-00000737;;283,76;111.811,73C
15/08/2023;NOTA FISCAL N§ 2070866 ;3152;0823-00000738;;65,94;111.877,67C
15/08/2023;NOTA FISCAL N§ 2070866 ;3152;0823-00000780;;185,96;112.063,63C
15/08/2023;NOTA FISCAL N§ 2070602 ;3152;0823-00000789;;657,6;112.721,23C
17/08/2023;NOTA FISCAL N§ 2071785 ;3152;0823-00000766;;513,84;113.235,07C
17/08/2023;NOTA FISCAL N§ 2071937 ;3152;0823-00000786;;878,76;114.113,83C
17/08/2023;NOTA FISCAL N§ 2072369 ;3152;0823-00000790;;824,99;114.938,82C
22/08/2023;NOTA FISCAL N§ 2074563 ;3152;0823-00000791;;130,23;115.069,05C
24/08/2023;NOTA FISCAL N§ 2076405 ;3152;0823-00000742;;458,96;115.528,01C
24/08/2023;NOTA FISCAL N§ 2075143 ;3152;0823-00000787;;1.160,08;116.688,09C
24/08/2023;NOTA FISCAL N§ 2076405 ;3152;0823-00000802;;802,1;117.490,19C
24/08/2023;DEVOLU€?O DE COMPRAS CONF. NF. N§16136 ;3222;0823-00001246;90,2;;117.399,99C
31/08/2023;NOTA FISCAL N§ 2080315 ;3152;0823-00000741;;1.189,83;118.589,82C
31/08/2023;NOTA FISCAL N§ 2080727 ;3152;0823-00000743;;199,65;118.789,47C
31/08/2023;NOTA FISCAL N§ 2080315 ;3152;0823-00000782;;568,66;119.358,13C
31/08/2023;NOTA FISCAL N§ 2080025 ;3152;0823-00000796;;2.241,16;121.599,29C
31/08/2023;NOTA FISCAL N§ 2080727 ;3152;0823-00000798;;71,66;121.670,95C
01/09/2023;NOTA FISCAL N§ 2080249 ;3152;0923-00000736;;43,98;121.714,93C
01/09/2023;NOTA FISCAL N§ 2080249 ;3152;0923-00000744;;85,61;121.800,54C
05/09/2023;NOTA FISCAL N§ 2082856 ;3152;0923-00000748;;395,21;122.195,75C
09/09/2023;NOTA FISCAL N§ 2084905 ;3152;0923-00000745;;817,79;123.013,54C
09/09/2023;NOTA FISCAL N§ 2084904 ;3152;0923-00000746;;678,83;123.692,37C
12/09/2023;NOTA FISCAL N§ 2086080 ;3152;0923-00000740;;95,58;123.787,95C
12/09/2023;NOTA FISCAL N§ 2086080 ;3152;0923-00000751;;1.799,53;125.587,48C
14/09/2023;NOTA FISCAL N§ 2087520 ;3152;0923-00000738;;2.041,78;127.629,26C
18/09/2023;NOTA FISCAL N§ 2089126 ;3152;0923-00000743;;455,04;128.084,30C
20/09/2023;NOTA FISCAL N§ 2089701 ;3152;0923-00000737;;244,42;128.328,72C
20/09/2023;NOTA FISCAL N§ 2090794 ;3152;0923-00000739;;1.046,78;129.375,50C
20/09/2023;NOTA FISCAL N§ 2090794 ;3152;0923-00000741;;901,64;130.277,14C
20/09/2023;NOTA FISCAL N§ 2089701 ;3152;0923-00000742;;192,72;130.469,86C
09/10/2023;NOTA FISCAL N§ 2101165 ;3152;1023-00000605;;548,05;131.017,91C
13/10/2023;NOTA FISCAL N§ 2103604 ;3152;1023-00000600;;2.503,64;133.521,55C
20/10/2023;NOTA FISCAL N§ 2106891 ;3152;1023-00000595;;769,82;134.291,37C
20/10/2023;NOTA FISCAL N§ 2107255 ;3152;1023-00000596;;91,53;134.382,90C
20/10/2023;NOTA FISCAL N§ 2107255 ;3152;1023-00000606;;330,78;134.713,68C
20/10/2023;NOTA FISCAL N§ 2106891 ;3152;1023-00000609;;1.357,03;136.070,71C
24/10/2023;NOTA FISCAL N§ 2108408 ;3152;1023-00000598;;449,84;136.520,55C
24/10/2023;NOTA FISCAL N§ 2108408 ;3152;1023-00000602;;1.089,13;137.609,68C
24/10/2023;NOTA FISCAL N§ 2108427 ;3152;1023-00000610;;642,06;138.251,74C
25/10/2023;NOTA FISCAL N§ 2109510 ;3152;1023-00000593;;403,08;138.654,82C
25/10/2023;NOTA FISCAL N§ 2109561 ;3152;1023-00000594;;1.524,21;140.179,03C
25/10/2023;NOTA FISCAL N§ 2108812 ;3152;1023-00000597;;1.046,30;141.225,33C
25/10/2023;NOTA FISCAL N§ 2109561 ;3152;1023-00000604;;1.075,72;142.301,05C
28/10/2023;NOTA FISCAL N§ 2111418 ;3152;1023-00000607;;637,86;142.938,91C
30/10/2023;NOTA FISCAL N§ 2111631 ;3152;1023-00000601;;5.131,98;148.070,89C
31/10/2023;NOTA FISCAL N§ 2112248 ;3152;1023-00000599;;257,66;148.328,55C
31/10/2023;NOTA FISCAL N§ 2112227 ;3152;1023-00000603;;352;148.680,55C
31/10/2023;NOTA FISCAL N§ 2112248 ;3152;1023-00000608;;2.168,14;150.848,69C
31/10/2023;NOTA FISCAL N§ 2112719 ;3152;1023-00000611;;900,99;151.749,68C
03/11/2023;NOTA FISCAL N§ 2114743 ;3152;1123-00000454;;221,33;151.971,01C
03/11/2023;NOTA FISCAL N§ 2114743 ;3152;1123-00000460;;173,42;152.144,43C
08/11/2023;NOTA FISCAL N§ 2116772 ;3152;1123-00000451;;688,57;152.833,00C
08/11/2023;NOTA FISCAL N§ 2116772 ;3152;1123-00000458;;91,42;152.924,42C
13/11/2023;NOTA FISCAL N§ 2118765 ;3152;1123-00000453;;494,91;153.419,33C
13/11/2023;NOTA FISCAL N§ 2118765 ;3152;1123-00000466;;1.412,24;154.831,57C
14/11/2023;NOTA FISCAL N§ 2119675 ;3152;1123-00000449;;1.547,80;156.379,37C
16/11/2023;NOTA FISCAL N§ 2120550 ;3152;1123-00000459;;1.036,03;157.415,40C
20/11/2023;NOTA FISCAL N§ 2122090 ;3152;1123-00000452;;169,92;157.585,32C
20/11/2023;NOTA FISCAL N§ 2122090 ;3152;1123-00000457;;959,22;158.544,54C
20/11/2023;NOTA FISCAL N§ 2122265 ;3152;1123-00000461;;123,42;158.667,96C
20/11/2023;NOTA FISCAL N§ 2121979 ;3152;1123-00000462;;847,43;159.515,39C
22/11/2023;NOTA FISCAL N§ 2123824 ;3152;1123-00000450;;142,8;159.658,19C
